ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,03322,email,,bhalka.vrl@bkivv.org
Modified,03322,contact,02876-232544,
Modified,03322,mobile,9328766904,9106860668
Modified,05243,coords,"['22.6783650000', '75.8997570000']","['22.6798230000', '75.8969320000']"
Modified,05243,address.line1,"H NO: 105, GURUJI CHAT","H NO: 10, NEXUS PARK"
Modified,05243,address.line2,"NEAR SHUBH CITY, R.T.O. ROAD","NEAR SANSKRITI PALMS, NEW R.T.O. ROAD"
Modified,01605,coords,"['12.8267280000', '79.7001691000']","['12.8454210000', '79.6980380000']"
Modified,01605,contact,044- 27232196,
Modified,01605,mobile,"9444691463, 9095332111",9444691463
Modified,01605,address.line3,NEAR PADAVETTAMMAN KOIL,NEAR SRI EKAMBARANADAR TEMPLE
Modified,01605,address.pincode,631501,631502
Modified,01605,address.line1,H NO: 102,H NO: 21
Modified,01605,address.line2,K.A.KOIL STREET,LINGAPPAN STREET
Modified,00019,name,PORSA,PORSA (MORENA)
Modified,04771,mobile,"9971427788, 9971427788","9971427788, 9818869118, 9971427788"
Modified,04771,address.line1,"H NO: D1/211, ","H NO: D1/211,"
Modified,04521,coords,"['22.3029500000', '79.8114200000']","['22.2993160000', '79.8108610000']"
Modified,04521,address.line1,H NO: 36,SHIVANJALI BHAWAN
Modified,04521,address.line2,"AWAS COLONY, PALAN ROAD","BHIMGARH ROAD, KHAIRA PALARI"
Modified,04758,email,,chhapraula@bkiv.org
Modified,04958,mobile,9008853473,"8095011290, 9008853473"
Modified,90007,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,03757,coords,"['22.5762130000', '76.5592820000']","['26.8871190000', '75.8921740000']"
Modified,04321,name,BARTI,BARTI (RAGHUNATHPUR)
Modified,03815,coords,"['23.1342698000', '77.9321832000']","['23.1308680000', '77.9297990000']"
Modified,03815,mobile,7489115826,"7489115826, 9399950259"
Modified,03815,address.line3,"RAISEN ROAD, WARD NO:9",WARD NO:9
Modified,03815,address.line1,"H NO: 0838, PRADEEP CHOWK",PRABHU DARSHAN BHAWAN
Modified,03815,address.line2,"BENIND PETROL PUMP, NEAR TEHSIL OFFICE","NEAR GALLA MANDI, RAISEN ROAD"
Modified,01131,contact,01483- 223721,
Modified,04059,coords,"['27.5776550000', '77.0708940000']","['27.5778770000', '77.0712540000']"
Modified,04059,mobile,"9587613147, 8477985860",9587613147
Modified,04059,address.line3,KUTTAKPUR PATTI SIKRI ROAD,"KUTTAKPUR PATTI, SIKARI"
Modified,04059,address.line1,H.NO: 20,"H.NO: 243, SHIV SHAKTI BHAWAN"
Modified,04059,address.line2,NEAR ADARSH TAGORE SCHOOL,NEAR TAGORE SR. SEC. SCHOOL
Modified,04369,coords,"['28.6168690000', '77.0527950000']","['28.6173600000', '77.0539120000']"
Modified,04369,mobile,"9868121464,  9250178348",9868121464
Modified,04369,address.line3,"UTTAM NAGAR, OM VIHAR","OM VIHAR, UTTAM NAGAR"
Modified,04369,address.line1,"H NO: T-24, FF, SUNDER DHAM",H NO: T-05A
Modified,04369,address.line2,"SHUKAR BAZAR, GALI NO: 2","GALI NO: 1, NEAR JAGRAN CHOWK"
Modified,04680,name,KURAI,KURAI (SEONI)
Modified,04680,coords,"['21.8099200000', '79.5050130000']","['21.8105290000', '79.5027100000']"
Modified,04680,mobile,9098792987,"9098792987, 9340005008"
Modified,04680,address.line3,"PINDKEPAR, BARAPATTHAR",KURAI
Modified,04680,address.line1,H NO: 394,BRAHMA KUMARIS
Modified,04680,address.line2,"NEAR SHIV MANDIR, GALI NO:11","BEHIND NARMADA MEDICAL, BARAPATHAR"
Modified,03124,coords,"['22.1533607000', '86.5407466000']","['22.1502700000', '86.5434090000']"
Modified,03124,mobile,"9337588615, 8117081063",9337588615
Modified,03124,address.line3,HANADA,"BANGRIPOSI, TAL: HANADA"
Modified,03124,address.line1,"PLOT NO: 128, HOUSE OF UDAYANATH MOHANTY","PLOT NO: 120/180, HOUSE OF MANAS KUMAR BEHERA"
Modified,03124,address.line2,"NEAR BUSSTAND, P.W.D ROAD","NEAR POST OFFICE, RAILWAY STATION ROAD"
Modified,03315,name,KARVE,KARVE (SATARA)
Modified,03315,coords,"['17.2441567000', '74.2099567000']","['17.2500180000', '74.2145480000']"
Modified,03315,address.line1,"H NO: 237, KARVE DUSHERE ROAD",SHIVRATNA
Modified,03315,address.line2,NEAR SAVAKAR BASTI,"NEAR SUGAR KARKHANA GAT OFFICE, TASGAON ROAD"
Modified,90006,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,04219,mobile,9669735567,9826745504
Modified,04436,address.line1,"GYAN VIGYAN BHAWAN, VATTUPURA","H NO: 336/A, GYAN VIGYAN BHAWAN, VATTUPURA"
Modified,04436,address.line2,"NEAR EBNIZER INTL SCHOOL, KADAPOOR","NEAR EBNIZER INTL SCHOOL, KADAPOOR, W.NO: 6"
Modified,03819,address.line2,PRAGATI VIHAR COLONY,"PRAGATI VIHAR COLONY, OM SHANTI ROAD"
Modified,04997,mobile,9008444070,"9008853473, 8073724849"
Modified,03194,name,KUTRA,KUTRA (RAJGANGPUR)
Modified,01823,mobile,8722651619,7349349586
Modified,03637,name,KODAD,KODAD RAMMURTHY NAGAR
Modified,03637,address.line3,"SURYAPTA ROAD, TAL-KODAD","SURYAPET ROAD, TAL-KODAD"
Modified,03986,name,JANLA,JANLA (KHORDHA)
Modified,04099,mobile,"9604776684, 8097983393","8805160228, 8097983393"
