ChangeType,branch_code,FieldName,OldValue,NewValue
Modified,03565,address.line1,SETH BANIA KI HAWELI,"H NO: 298, OM SHANTI BHAWAN"
Modified,03565,address.line2,KANDELA PATTI,"NEAR SETH BANIA KI HAWELI, KANDELA PATTI"
Modified,03565,address.line3,TEH: KAIRANA (SHAMLI),"MANDIWALI GALLI, TEH: KAIRANA (SHAMLI)"
Modified,03565,coords,"['29.4336048300', '77.2430396600']","['29.4334700000', '77.2431500000']"
Modified,04077,mobile,"9009568397, 9926835363","9926835363, 9399234067"
Modified,02545,address.line1,"H NO: 3203, PRABHU UPVAN","H NO: 1085, DIVYA ANUBHUTI BHAWAN"
Modified,02545,address.pincode,160002,160019
Modified,02545,address.line2,"NEAR PAL DHABHA, CAR MARKET BACKSIDE ROAD","JAIN MANDIR ROAD, OPP GOPAL SWEETS"
Modified,02545,address.line3,SECTOR- 28D,"CHANDI PATH, SECTOR 27B"
Modified,02545,coords,"['30.7176320000', '76.8014510000']","['30.7205510000', '76.8013340000']"
Modified,02545,name,CHANDIGARH SECTOR 28D,CHANDIGARH SECTOR 27B
Modified,02191,address.line1,H.NO: 5-24/2,"H.NO: 5-24/2, ESHWARANUBHUTI BHAVAN"
Modified,02191,address.line2,MICRO TOWER,"MICRO TOWER, OM SHANTI COLONY"
Modified,03927,mobile,"9405290623, 7385846214","9405290623, 7083847603"
Modified,03927,address.line1,H.NO: 421,"H.NO: 58/A/2, SHIV SHAKTI BHAWAN"
Modified,03927,address.line2,SHIWAJI GALLI,SHIKSHAK COLONY
Modified,03927,address.line3,,CHANDGAD
Modified,03927,coords,"['15.9414224000', '74.1823691000']","['15.9503080000', '74.1835960000']"
Modified,00338,address.line1,HOUSE OF:HARI THAKUR,"HOUSE OF:HARI THAKUR, 1ST FLOOR"
Modified,00338,address.line2,HARNAM KIRANA WALI GALI,"HARNAM KIRANA WALI GALI, SUBHASH WARD"
Modified,00338,address.line3,SUBHASH WARD,
Modified,03814,mobile,"7976622090, 8901255183",8901255183
Modified,03814,contact,01693-233158,
Modified,01125,address.line2,NEW PATHIK NAGAR-II,"NEW PATHIK NAGAR-II, WARD NO-5"
Modified,05188,address.line3,BORIVALI EAST,"SANT DYANESWAR ROAD, BORIVALI EAST"
Modified,00559,mobile,"9396843521, 9396511122",9396843521
Modified,00559,district,VISAKHAPATNAM,Anakapalli
Modified,00559,address.city,ANAKAPALLE,ANAKAPALLI
Modified,00559,contact,08924-221465,
Modified,00559,district_id,5212,7782
Modified,00559,name,ANAKAPALLE GAVARAPALAM,ANAKAPALLI GAVARAPALAM
Modified,02602,mobile,6370843377,8763155404
Modified,02602,address.line2,PADMANAVPUR,"PADMANAVPUR, NARSINGPUR MAIN ROAD"
Modified,00405,mobile,8639648635,9491450433
Modified,04461,address.line2,"NEAR BUS STATION, NARMADA APPROACH ROAD","NEAR BUS STAND, NARMADA APROCH ROAD"
Modified,04461,name,MANDLESHWAR NARMADA APPROACH ROAD,MANDLESHWAR NARMADA APROCH ROAD
Modified,05465,name,NIWAS,NIWAS (MANDLA)
Modified,05614,mobile,"8196919851, 8445679111","8445679111, 8196919851"
Modified,04746,address.line1,"H NO: 8-295, 'PEACE PALACE'","H NO: 8-295, PEACE PALACE"
Modified,04746,email,,dowalaiswaram@bkivv.org
Modified,03045,address.line1,"PLOT NO: 3-883, VIJAYA SRINIVASAM","PLOT NO: 3-884, SHANTI ANUBHUTI BHAWAN"
Modified,03045,address.line2,"NEAR POWER SUB STATION, AYYAPPA SOC.","NEAR POWER SUB STATION, AYYAPPA SOCIETY"
Modified,03045,coords,"['17.4507720000', '78.3934000000']","['17.4507010000', '78.3932650000']"
Modified,03147,address.line1,TIRUPATHI ROAD,DOOR NO: 6/9
Modified,03147,address.line2,,GANDLA STREET
Modified,03147,coords,"['13.5496244000', '79.5237900000']","['13.5489830000', '79.5232050000']"
Modified,02142,address.line1,"""PRAKASH KUNJ""","H.NO: 34, PRAKASH KUNJ"
Modified,02142,address.line2,NEAR TRIMURTI GAS AGENCY,"NEAR TRIMURTI GAS AGENCY, W.NO:15"
Modified,02142,address.line3,ASHIRWAD NAGAR,"AKOLA ROAD, ASHIRWAD NAGAR"
Modified,03975,mobile,9776449569,7978430367
Modified,00577,district,Prakasam,Bapatla
Modified,00577,district_id,19,7784
Modified,00600,mobile,"9422054010, 8698820788",9422054010
Modified,00600,address.line1,"'INDRAPRASTH', 2298/2","INDRAPRASTH, 2298/2"
Modified,00600,contact,O2342-224445,
Modified,00997,address.line2,NEAR MATHA MANDIR,"NEAR MATHA MANDIR, COLLEGE ROAD"
Modified,00997,address.line3,COLLEGE ROAD,
Modified,00997,contact,06793- 220832,
Modified,00562,district,Aurangabad,CHHATRAPATI SAMBHAJI NAGAR
Modified,00562,address.line3,,CENTRAL BUS STAND ROAD
Modified,00298,contact,0260-2564108,
Modified,05589,mobile,"9406686949, 8989466635","9406686949, 8989466605"
Modified,90006,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,03334,email,,sipat@bkivv.org
Modified,01343,address.line3,TEH: RAMACHANDRA PURAM MANDAL,TAL: RAMACHANDRA PURAM MANDAL
Modified,01343,contact,08857- 252035,
Modified,03309,address.line2,NEAR TIMPANY SCHOOL,"NEAR TIMPANY SCHOOL, SHIVALAYAM ROAD"
Modified,04823,mobile,"8982165225, 9589659970, 7974521048",7974521048
Modified,04823,address.line2,NEAR VIJAY GUPTA WELDING WORK SHOP,"NEAR VIJAY GUPTA WELDING WORK SHOP, DINDORI ROAD, WARD NO: 3"
Modified,04823,address.line3,WARD NO: 3,
Modified,01863,contact,02138-225795,
Modified,04889,mobile,9928264865,8209718968
Modified,04889,address.line2,NEAR VALMIKI MANDIR,"NEAR VALMIKI MANDIR, STATE BANK OF INDIA ROAD"
Modified,04889,address.line3,"STATE BAND OF INDIA ROAD, TEH: TARANAGAR",TEH: TARANAGAR
Modified,02280,address.line2,NEAR OLD GOVT. HOSPITAL,"NEAR OLD GOVT. HOSPITAL, BALAJI WARD, RATAN BAJARIYA ROAD"
Modified,02280,address.line3,BALAJI WARD,
Modified,02280,contact,07604- 262366,
Modified,02280,email,,hatta@bkivv.org
Modified,90007,region,INDIA,MADHUBAN SISTER CONCERNS
Modified,01640,contact,0512-2633880,
Modified,01678,mobile,"6000057552, 8638985045",8638985045
Modified,01678,contact,03624- 282704,
Modified,03934,mobile,"9893421228, 9589872926, 9131945144","9589872926, 9131945144, 8269558104"
Modified,03934,address.line1,HOUSE NO: 320,"HOUSE NO: 320, MAIN ROAD"
Modified,03934,address.line2,"MAIN ROAD, NAVODAY VIDHYALAYA KE PASS","NAVODAY VIDHYALAYA KE PASS, SANGAVI NEEM"
Modified,03934,address.line3,"SANGAVI NEEM, TAL: RAJPUR",TAL: RAJPUR
Modified,03934,name,OJHAR,OJHAR (BARWANI)
Modified,02022,district,Guntur,Palnadu
Modified,02022,district_id,11,7789
Modified,00310,address.line1,HANUMAN PARA,"HANUMAN PARA, SURVEY NO: 2473, 2474"
Modified,00310,contact,02873-222423,
Modified,05200,address.line1,"KASRA NO: 580, NEHRU ENCLAVE ","KASRA NO: 580, NEHRU ENCLAVE"
Modified,05200,address.line3,ALIPUR,"G.T.ROAD, ALIPUR"
Modified,00603,contact,02482-232726,
Modified,03604,address.line1,"C/103, LOTUS APARTMENT ","C/103, LOTUS APARTMENT"
Modified,04222,mobile,8827673752,"8827673752, 6232996323"
Modified,04222,address.line1,"H NO: 438, RAILWAY STATION ROAD",H NO: 362
Modified,04222,address.line2,OPP: VIVEKANAND VIDHYAVIHAR SCHOOL,"NEAR ANKIT KIRANA STORE, MAIN ROAD"
Modified,04222,address.line3,TAL: SANWER,FATEHABAD CHANDRAWATI GANJ
Modified,04222,coords,"['23.0124960000', '75.6761690000']","['23.0095950000', '75.6755420000']"
Modified,05003,address.line1,"KHASRA NO: 1909, IST FLOOR",PRABHU MILAN BHAWAN
Modified,05003,address.line2,SHANKAR JI AGRAWAL KATRA,"BALLIA ROAD, NEAR GANDHI ASHRAM"
Modified,05003,address.line3,BADI BAZAR ROAD,"PINDAHARA, TAL: BANSDIH"
Modified,05003,coords,"['25.8827310000', '84.2208270000']","['25.8720130000', '84.2161890000']"
Modified,00077,mobile,9717179221,"9717179221, 9810005221"
Modified,00077,address.line1,H NO: 1/9378 (1/9376 & 1504 OLD NO),H NO: 1/9378 (OLD NO: 1/9376 & 1504)
Modified,05252,mobile,9439046445,7749011457
Modified,05252,address.line2,KACHARI ROAD,"KACHARI ROAD, NEAR SANDIPANI SISHU BIKASH KENDRA"
Modified,05252,address.line3,NEAR SANDIPANI SISHU BIKASH KENDRA,
Modified,03575,mobile,8851761947,"8851761947, 8240683893"
Modified,00488,mobile,9480385598,"9945614808, 8147439345"
Modified,00488,address.line1,"HOUSE NO: 225, FIRST FLOOR","HOUSE NO: 156, 1ST MAIN, 2ND CROSS"
Modified,00488,address.line2,"MAHADESWARA NAGAR, NEAR VIDYA VARDHKA COLLEGE","VIJAY NAGAR 2ND STAGE, RAILWAY LAYOUT"
Modified,00488,address.line3,VIJAY NAGAR RAILWAY LAYOUT,
Modified,00488,coords,"['12.3389310000', '76.6180740000']","['12.3419380000', '76.6179330000']"
Modified,04684,address.line2,"PRATAP NAGAR, THANA ROAD","PRATAP NAGAR, THANA ROAD, NEAR BADA PARK"
Modified,04684,address.line3,NEAR BADA PARK,
Modified,00244,mobile,"9408950689, 9106503164","9408950689, 6353338524"
Modified,00244,name,DAMAN,DAMAN KATHERIA
Modified,00398,mobile,8884533822,"8095679408, 8197634079"
Modified,01876,contact,05181-692009,
Modified,05590,address.line1,D NO: 25-36-514,"D NO: 25-36-514, BALA SANJEEVINI DHAMAM"
Modified,05590,address.line2,BALA SANJEEVINI DHAMAM,"KAMASHASTRI ROAD, OPP: TTD KALYANA MANDADAM"
Modified,05590,address.line3,OPP: TTD KALYANA MANDADAM,
Modified,04138,mobile,"8720882636, 6265938886","8720882636, 9009049975"
Modified,04138,address.line2,BHAWANI MATA GALLI,"BHAWANI MATA GALLI, NEAR RAM MANDIR"
Modified,04138,address.line3,NEAR RAM MANDIR,
Modified,03400,email,,purunabaripada@bkivv.org
Modified,03316,contact,02164-252367,
Modified,02739,name,SISAI,SISAI (HISAR)
Modified,01143,mobile,"7697290174,8982196159",7697290174
Modified,01143,address.line2,ABOVE DHARMADA TRUST OFFICE,"ABOVE DHARMADA TRUST OFFICE, GOL BAZAR"
Modified,01143,address.line3,GOL BAZAR,
Modified,01143,contact,07755-274314,
Modified,03897,mobile,"8763209224, 8280031400",8260706630
Modified,03897,contact,9438422684,
Modified,01112,contact,02796-273029,
Modified,01112,email,,vadia@bkivv.org
Modified,01112,name,VADIA,VADIA (AMRELI)
Modified,01064,contact,06795- 232402,
Modified,04040,email,,dwarakanagar.kmm@bkivv.org
Modified,01718,contact,040- 23226151,
Modified,02275,address.line1,H NO:29,"H NO:29, PAWAN DHAM"
Modified,02275,contact,0731- 2306314,
Modified,01132,address.line2,"NEAR GANESH MANDIR, BHAWARKUA","NEAR GANESH MANDIR, BHAWARKUA, OM SHANTI STREET"
Modified,05157,address.line2,NAMBOL LAITONJAM LEIKAI,NAMBOL LAITONJAM LEIKAI ROAD
Modified,00414,address.line2,"NEAR TAHASHIL OFFICE, DOLLORS COLONY","NEAR TAHASHIL OFFICE, DOLLORS COLONY, NARAYANPUR ROAD"
Modified,00414,email,,hunasagi@bkivv.org
Modified,04041,mobile,"8886828358, 9000565941",8886828358
Modified,04041,address.line1,"H.NO: 16-102, 1ST FLOOR","H.NO: 15-42-1/A/1, ASHIRWAD BHAWAN"
Modified,04041,address.line2,OPP: RAMAKRISHNA THEATRE,NEAR BHONAGIRI SHANKAR RICE MILL
Modified,04041,address.line3,"MAIN ROAD, VELIKATTA","CHINTALAPALLI ROAD, THORRUR"
Modified,04041,coords,"['17.5876930000', '79.6545400000']","['17.5894930000', '79.6579460000']"
Modified,04952,mobile,9993551439,"9993551439, 9752710369"
Modified,04952,address.line1,PRABHU PASAND,"PRABHU PASAND, NEW KATNI JUNCTION"
Modified,04952,address.line2, NEW KATNI JUNCTION,"KATNI DIET COLLEGE ROAD, ROSHAN NAGAR"
Modified,04952,address.line3,"KATNI DIET COLLEGE ROAD, ROSHAN NAGAR",
Modified,04299,mobile,"6268425838, 8989524675",6268425838
Modified,04299,address.line2,UMRIYA MOHALLA,"UMRIYA MOHALLA, WARD NO: 3"
Modified,04299,address.line3,WARD NO: 3,
Modified,00628,mobile,9870500530,"9870500530, 9619592225"
Modified,00628,contact,022-28916442,
Modified,01155,mobile,9009852538,"9009852538, 9131036601"
Modified,01155,address.line2,"SAI NAGAR, WARD NO-3, OPP: BHARAT PETROL PUMP","SAI NAGAR, W.NO:3, OPP: BHARAT PETROL PUMP"
